"Colony_ID","Date","Site","Species","Bleaching_percent"
"Col_1","Jan-23","site_a","Acropora cervicornis","33.8%"
"Col_2","Jan-23","SITE_A","Acropora cervicornis","41.9%"
"Col_3","Jan-23","site_a","Acropora cervicornis","36.2%"
"Col_4","Jan-23","site_a","Acropora cervicornis","34.7%"
"Col_5","Jan-23","site_a","acropora cervicornis ","36.1%"
"Col_6","Jan-23","site_a","Montipora capitata","30.1%"
"Col_7","Jan-23","site_a","Montipora capitata","30%"
"Col_8","Jan-23","site_a","Acropora cervicornis","<5"
"Col_9","Jan-23","site_a","Porites lobata","31.2%"
"Col_10","Jan-23","site_a","Porites lobata","29.9%"
"Col_11","Jan-23","site_b","Acropora cervicornis","72%"
"Col_12","01_2023","site_b","Acropora cervicornis","31.4%"
"Col_13","Jan-23","site_b","Montipora capitata","46.4%"
"Col_14","Jan-23","site_b","Montipora capitata","30.1%"
"Col_15","Jan-23","site_b","Montipora capitata","30.3%"
"Col_16","Jan-23","site_b","Porites lobata","46.2%"
"Col_17","Jan-23","site_b","Porites lobata","35%"
"Col_18","Jan-23","site_b","Acropora cervicornis","45%"
"Col_19","Jan-23","site_b","Acropora cervicornis","40.7%"
"Col_20","Jan-23","site_b","Porites lobata","38.9%"
"Col_21","Jan-23","site_c","Acropora cervicornis","29.8%"
"Col_22","Jan-23","site_c","Porites lobata","37.8%"
"Col_23","Jan-23","site_c","Montipora_capitata","51.8%"
"Col_24","Jan-23","site_c","Acropora cervicornis","55.7%"
"Col_25","Jan-23","site_c","Montipora capitata","45.1%"
"Col_26","Jan-23","site_c","Porites lobata","50%"
"Col_27","Jan-23","site_c","Montipora capitata","61.2%"
"Col_28","Jan-23","site_c","Acropora cervicornis","64.4%"
"Col_29","Jan-23","site_c","Montipora capitata","39%"
"Col_30","Jan-23","site_c","Montipora capitata","48.8%"
"Col_31","Jan-23","site_d","Porites lobata","67%"
"Col_32","Jan-23","site_d","Porites lobata","50.3%"
"Col_33","Jan-23","site_d","Montipora capitata","54.5%"
"Col_34","Jan-23","site_d","Montipora capitata","N/D"
"Col_35","Jan-23","site_d","Montipora capitata","46.1%"
"Col_36","Jan-23","site_d","Montipora capitata","50.6%"
"Col_37","Jan-23","site_d","Acropora cervicornis","54.7%"
"Col_38","Jan-23","site_d","Acropora cervicornis","50.9%"
"Col_39","Jan-23","site_d","Montipora capitata","66.1%"
"Col_40","Jan-23","site_d","Montipora capitata","50.2%"
"Col_1","Feb-23","site_a","Porites lobata","30.7%"
"Col_2","Feb-23","site_a","Porites lobata","42%"
"Col_3","Feb-23","site_a","Acropora cervicornis","24.4%"
"Col_4","Feb-23","site_a","Acropora cervicornis","34.6%"
"Col_5","feb 2023","site_a","Montipora capitata","19.5%"
"Col_6","Feb-23","site_a","Montipora capitata","46.7%"
"Col_7","Feb-23","site_a","Montipora capitata","32.3%"
"Col_8","Feb-23","site_a","Montipora capitata","30.3%"
"Col_9","Feb-23","site_a","Montipora capitata","22.6%"
"Col_10","Feb-23","site_a","Porites lobata","34.9%"
"Col_11","Feb-23","site_b","Montipora capitata","37%"
"Col_12","Feb-23","site_b","Acropora cervicornis","39.7%"
"Col_13","Feb-23","site b","Montipora capitata","42.9%"
"Col_14","Feb-23","site_b","Porites lobata","43.2%"
"Col_15","Feb-23","site_b","Montipora capitata","34.3%"
"Col_16","Feb-23","site_b","Montipora capitata","46.6%"
"Col_17","Feb-23","site_b","Montipora capitata","41.4%"
"Col_18","Feb-23","site_b","Acropora cervicornis","50.9%"
"Col_19","Feb-23","site_b","Acropora cervicornis","59.3%"
"Col_20","Feb-23","site_b","Acropora cervicornis","35.1%"
"Col_21","Feb-23","site_c","Porites lobata","54.5%"
"Col_22","Feb-23","site_c","Acropora cervicornis","50.8%"
"Col_23","Feb-23","site_c","Montipora capitata","59%"
"Col_24","Feb-23","site_c","Acropora cervicornis","47.7%"
"Col_25","Feb-23","site_c","Acropora cervicornis","58.4%"
"Col_26","Feb-23","site_c","Acropora cervicornis","32.5%"
"Col_27","Feb-23","site_c","Porites lobata","66.9%"
"Col_28","Feb-23","site_c","Porites lobata","58.6%"
"Col_29","Feb-23","site_c","Acropora cervicornis","48.5%"
"Col_30","Feb-23","site_c","Acropora cervicornis","35.5%"
"Col_31","Feb-23","site_d","Montipora capitata","61.4%"
"Col_32","Feb-23","site_d","Acropora cervicornis","59.8%"
"Col_33","Feb-23","site_d","Montipora capitata","54.9%"
"Col_34","Feb-23","site_d","Montipora capitata","56.5%"
"Col_35","Feb-23","site_d","Montipora capitata","49.2%"
"Col_36","Feb-23","site_d","Acropora cervicornis"," 15.2 % "
"Col_37","Feb-23","site_d","Montipora capitata","57.9%"
"Col_38","Feb-23","site_d","Acropora cervicornis","52.2%"
"Col_39","Feb-23","site_d","Montipora capitata","41.6%"
"Col_40","Feb-23","site_d","Porites lobata","62%"
"Col_1","Mar-23","site_a","Acropora cervicornis","40.5%"
"Col_2","Mar-23","site_a","Acropora cervicornis","26.6%"
"Col_3","Mar-23","site_a","Porites lobata","19.1%"
"Col_4","Mar-23","site_a","Montipora capitata","37%"
"Col_5","Mar-23","site_a","Montipora capitata","31.5%"
"Col_6","Mar-23","site_a","Porites lobata","37.5%"
"Col_7","Mar-23","site_a","Acropora cervicornis","22.1%"
"Col_8","Mar-23","site_a","Acropora cervicornis","25.4%"
"Col_9","Mar-23","site_a","porites LOBATA","45.9%"
"Col_10","Mar-23","site_a","Porites lobata","39%"
"Col_11","Mar-23","site_b","Montipora capitata","50.9%"
"Col_12","Mar-23","site_b","Acropora cervicornis","63.2%"
"Col_13","Mar-23","site_b","Acropora cervicornis","46.3%"
"Col_14","Mar-23","site_b","Acropora cervicornis","25%"
"Col_15","Mar-23","site_b","Acropora cervicornis","48.3%"
"Col_16","Mar-23","site_b","Acropora cervicornis","56.7%"
"Col_17","Mar-23","site_b","Montipora capitata","65.6%"
"Col_18","Mar-23","site_b","Porites lobata","31.2%"
"Col_19","Mar-23","site_b","Acropora cervicornis","33.5%"
"Col_20","Mar-23","site_b","Montipora capitata","37.9%"
"Col_21","Mar-23","site_c","Acropora cervicornis","39.5%"
"Col_22","Mar-23","site_c","Porites lobata","43.5%"
"Col_23","Mar-23","site_c","Montipora capitata","48.1%"
"Col_24","Mar-23","site_c","Acropora cervicornis","38%"
"Col_25","Mar-23","site_c","Acropora cervicornis","70.4%"
"Col_26","Mar-23","Site-C","Montipora capitata","26.1%"
"Col_27","Mar-23","site_c","Acropora cervicornis","49.2%"
"Col_28","Mar-23","site_c","Acropora cervicornis","55%"
"Col_29","Mar-23","site_c","Porites lobata","50.4%"
"Col_30","Mar-23","site_c","Montipora capitata","48.7%"
"Col_31","Mar-23","site_d","Porites lobata","69.8%"
"Col_32","MARCH-23","site_d","Montipora capitata","52.8%"
"Col_33","Mar-23","site_d","Montipora capitata","42.2%"
"Col_34","Mar-23","site_d","Acropora cervicornis","58.9%"
"Col_35","Mar-23","site_d","Porites lobata","51.5%"
"Col_36","Mar-23","site_d","Acropora cervicornis","49.8%"
"Col_37","Mar-23","site_d","Acropora cervicornis","44.3%"
"Col_38","Mar-23","site_d","Acropora cervicornis","59.3%"
"Col_39","Mar-23","site_d","Porites lobata","53.3%"
"Col_40","Mar-23","site_d","Porites lobata","not recorded"
"Col_1","Apr-23","site_a","Acropora cervicornis","32.7%"
"Col_2","Apr-23","site_a","Montipora capitata","28.4%"
"Col_3","Apr-23","site_a","Montipora capitata","47.5%"
"Col_4","Apr-23","site_a","Porites lobata","32.3%"
"Col_5","Apr-23","site_a","Montipora capitata","44.5%"
"Col_6","Apr-23","site_a","Porites lobata","23%"
"Col_7","Apr-23","site_a","Porites lobata","30.3%"
"Col_8","Apr-23","site_a","Montipora capitata","32.3%"
"Col_9","Apr-23","site_a","Acropora cervicornis","31.1%"
"Col_10","Apr-23","site_a","Acropora cervicornis","48.5%"
"Col_11","Apr-23","site_b","Montipora capitata","44.8%"
"Col_12","Apr-23","site_b","Acropora cervicornis","47.4%"
"Col_13","Apr-23","site_b","Montipora capitata","35.6%"
"Col_14","Apr-23","site_b","Porites lobata","37.7%"
"Col_15","Apr-23","site_b","Montipora capitata","55%"
"Col_16","Apr-23","site_b","Montipora capitata","57.6%"
"Col_17","Apr-23","site_b","Montipora capitata","57.5%"
"Col_18","Apr-23","site_b","Montipora capitata","31.2%"
"Col_19","Apr-23","site_b","Montipora capitata","65.5%"
"Col_20","Apr-23","site_b","Porites lobata","55.2%"
"Col_21","Apr-23","site_c","Montipora capitata","49.7%"
"Col_22","Apr-23","site_c","Acropora_cervicornis","57%"
"Col_23","Apr-23","site_c","Montipora capitata","40.3%"
"Col_24","Apr-23","site_c","Montipora capitata","39%"
"Col_25","Apr-23","site_c","Porites lobata","50.5%"
"Col_26","Apr-23","site_c","Montipora capitata","38%"
"Col_27","Apr-23","site_c","Montipora capitata","51.9%"
"Col_28","Apr-23","site_c","Acropora cervicornis","63%"
"Col_29","Apr-23","site_c","Acropora cervicornis","39.7%"
"Col_30","Apr-23","site_c","Montipora capitata","42.6%"
"Col_31","Apr-23","site_d","Montipora capitata","55.5%"
"Col_32","Apr-23","site_d","Acropora cervicornis","44.8%"
"Col_33","Apr-23","site_d","Porites lobata","51.2%"
"Col_34","Apr-23","site_d","Acropora cervicornis","63.7%"
"Col_35","Apr-23","site_d","Montipora capitata","64.7%"
"Col_36","Apr-23","site_d","Montipora capitata","58.8%"
"Col_37","Apr-23","site_d","Montipora capitata","36.5%"
"Col_38","Apr-23","site_d","Montipora capitata","54.5%"
"Col_39","Apr-23","site_d","Porites lobata","65.6%"
"Col_40","Apr-23","site_d","Porites lobata","63.1%"
